"","support","confidence","lift","count","lhs","rhs"
"883",0.195180722891566,0.3375,1.20743534482759,81,"{Year=2019,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"57",0.139759036144578,0.337209302325581,1.20639534883721,58,"{CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"434",0.195180722891566,0.313953488372093,1.20639534883721,81,"{Uses.Computer.At.Home=Yes,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"668",0.139759036144578,0.337209302325581,1.20639534883721,58,"{Year=2019,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"1548",0.149397590361446,0.553571428571429,1.20278608825729,62,"{Has.Used.Image.Editor=No,
Most.CS.Students.Are.Male=Yes} ","{Would.Enroll.In.CS=Maybe}"
"287",0.12289156626506,0.312883435582822,1.20228357191547,51,"{Uses.Computer.At.Relatives.House=No,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=No}"
"297",0.146987951807229,0.312820512820513,1.20204178537512,61,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=No}"
"627",0.103614457831325,0.3359375,1.20184536637931,43,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=Yes}"
"719",0.11566265060241,0.335664335664336,1.20086809741982,48,"{Uses.Computer.At.School=No,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"337",0.132530120481928,0.3125,1.20081018518519,55,"{CS.Only.Teaches.To.Use.Software=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"410",0.156626506024096,0.3125,1.20081018518519,65,"{Uses.Computer.At.Friends.House=No,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=No}"
"674",0.118072289156627,0.335616438356164,1.20069674067076,49,"{Uses.Computer.At.School=No,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"747",0.144578313253012,0.335195530726257,1.19919090733963,60,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Yes}"
"428",0.175903614457831,0.311965811965812,1.19875751820196,73,"{Uses.Computer.At.Lan.House=No,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=No}"
"1425",0.219277108433735,0.551515151515152,1.19831826114549,91,"{Has.Used.For.Creating.Web.Pages=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"162",0.103614457831325,0.551282051282051,1.19781178681702,43,"{Uses.Computer.At.Library=No,
CS.Requires.Knowledge.In.Computers=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"882",0.185542168674699,0.334782608695652,1.19771364317841,77,"{Uses.Computer.At.Digital.Inclusion.Center=No,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"418",0.171084337349398,0.31140350877193,1.19659681611436,71,"{Uses.Computer.At.Friends.House=No,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=No}"
"143",0.106024096385542,0.55,1.19502617801047,44,"{Uses.Computer.At.School=Yes,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Maybe}"
"291",0.132530120481928,0.310734463276836,1.19402594685081,55,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Database=No} ","{Would.Enroll.In.CS=No}"
"348",0.142168674698795,0.310526315789474,1.1932261208577,59,"{Has.Used.For.Creating.Web.Pages=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"622",0.103614457831325,0.333333333333333,1.19252873563218,43,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.Games=Yes} ","{Would.Enroll.In.CS=Yes}"
"675",0.11566265060241,0.333333333333333,1.19252873563218,48,"{CS.Has.Low.Employability=No,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"684",0.134939759036145,0.333333333333333,1.19252873563218,56,"{Has.Used.Internet=Yes,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"812",0.142168674698795,0.333333333333333,1.19252873563218,59,"{CS.Is.Prestigious=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"880",0.175903614457831,0.333333333333333,1.19252873563218,73,"{Has.Used.Social.Network=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"349",0.139759036144578,0.310160427807487,1.1918201624084,58,"{Uses.Computer.At.Work=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"286",0.127710843373494,0.309941520467836,1.19097899068659,53,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=No}"
"231",0.11566265060241,0.309677419354839,1.18996415770609,48,"{CS.Only.Teaches.To.Use.Software=No,
CS.Work.Has.Long.Hours=Maybe} ","{Would.Enroll.In.CS=No}"
"1408",0.139759036144578,0.547169811320755,1.18887681517337,58,"{CS.Uses.Little.Math=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"1602",0.113253012048193,0.546511627906977,1.18744673079265,47,"{CS.Is.Prestigious=Yes,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"874",0.151807228915663,0.331578947368421,1.18625226860254,63,"{Uses.Computer.At.Home=Yes,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"814",0.137349397590361,0.331395348837209,1.18559542902967,57,"{Has.Used.Email=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"1411",0.159036144578313,0.545454545454545,1.18514992860543,66,"{Has.Used.Spreadsheet=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
